"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that an order is created successfully.","73","createsOrder()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsOrder"
"Verify another order can be created.","22","createsSecondOrder()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsSecondOrder"
"Intentional failure after repository reset.","64","resetShouldStillContainOneOrder()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","resetShouldStillContainOneOrder"
"Intentional failure to demonstrate Allure Categories.","25","createOrderShouldFail()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createOrderShouldFail"
"Verify repository reset removes all orders.","44","repositoryResetWorks()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","repositoryResetWorks"
"Verify repository count after creating one order.","24","countsOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","countsOrders"
"Verify multiple repository resets keep it empty.","53","multipleResetsKeepRepositoryEmpty()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","multipleResetsKeepRepositoryEmpty"
"Intentional failure to demonstrate assertion failure.","33","repositoryShouldContainFiveOrders()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","repositoryShouldContainFiveOrders"
"Verify order creation with quantity one.","50","createsSingleQuantityOrder()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsSingleQuantityOrder"
"Verify order creation with large quantity.","47","createsLargeQuantityOrder()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.tests.OrderTest","com.ust.sdet.tests.OrderTest","createsLargeQuantityOrder"
